Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
AMS-2753,84 Cornelis van Alkemadestraat 1065 AD,52.35931,4.825977,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Cornelis van Alkemadestraat,1065 AD
AMS-2892,13 Doctor E. Boekmanstraat 1069 KS,52.35187,4.795068,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Doctor E. Boekmanstraat,1069 KS
AMS-2765,93 Nieuw Herlaer 1083 BC,52.32594,4.887797,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Nieuw Herlaer,1083 BC
AMS-2945,44 Hemsterhuisstraat 1065 KB,52.36148,4.822882,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Hemsterhuisstraat,1065 KB
AMS-3181,31II Olympiakade 1076 XS,52.34935,4.861334,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Olympiakade,1076 XS
AMS-3220,32HS Nicolaas Maesstraat 1071 RA,52.35549,4.884021,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Nicolaas Maesstraat,1071 RA
AMS-3259,48 Pieter Oosterhuisstraat 1087 LA,52.35239,5.005363,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Pieter Oosterhuisstraat,1087 LA
AMS-3112,132HS Koninginneweg 1075 EC,52.35305,4.862464,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Koninginneweg,1075 EC
AMS-3121,114III Tweede Jan Steenstraat 1074 CT,52.35685,4.902786,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Tweede Jan Steenstraat,1074 CT
AMS-3255,14 Bonistraat 1094 SJ,52.359,4.935516,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Bonistraat,1094 SJ
AMS-3147,146II Tolstraat 1074 VM,52.35261,4.905228,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Tolstraat,1074 VM
AMS-2233,9 Willem Bartjenshof 1068 VT,52.35177,4.805114,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Willem Bartjenshof,1068 VT
AMS-2095,147II Valeriusstraat 1075 ET,52.3528,4.863816,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Valeriusstraat,1075 ET
AMS-3359,42 Doddendaal 1082 XV,52.33254,4.874741,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Doddendaal,1082 XV
AMS-0978,200g Ottho Heldringstraat 1066 AZ,52.34866,4.832108,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Ottho Heldringstraat,1066 AZ
AMS-3111,23 Emmalaan 1075 AT,52.35352,4.863583,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Emmalaan,1075 AT
AMS-3348,116 Emmy Andriessestraat 1087 ML,52.34891,5.00653,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Emmy Andriessestraat,1087 ML
AMS-3167,21I Stadionplein 1076 CG,52.34373,4.85868,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Stadionplein,1076 CG
AMS-2760,21 Senecastraat 1064 ZJ,52.37344,4.813141,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Senecastraat,1064 ZJ
AMS-2827,42 Wethouder Ramstraat 1107 CP,52.29241,4.99043,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Wethouder Ramstraat,1107 CP
AMS-2985,22 Blankenbergestraat 1066 TK,52.34531,4.800429,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Blankenbergestraat,1066 TK
AMS-3323,135-119 Zaaiersweg 1097 SR,52.34108,4.940959,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Zaaiersweg,1097 SR
AMS-2855,41 Komijnstraat 1104 HP,52.31585,4.985707,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Komijnstraat,1104 HP
AMS-2822,33HS Moreelsestraat 1071 BJ,52.35526,4.881935,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Moreelsestraat,1071 BJ
AMS-3320,20 Clara Meyer-Wichmannstraat 1097 HW,52.34728,4.922425,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Clara Meyer-Wichmannstraat,1097 HW
AMS-2725,28II Fritz Conijnstraat 1063 CE,52.38412,4.836385,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Fritz Conijnstraat,1063 CE
AMS-1086,8 Jan Oudegeeststraat 1069 CW,52.3534,4.798735,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jan Oudegeeststraat,1069 CW
