Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,street_name
AMS-2543,54a Koningslaan 1075 AE,52.35543,4.861579,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Koningslaan
AMS-2420,5 Vorselaarstraat 1066 PT,52.34874,4.806327,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Vorselaarstraat
AMS-0487,67I Lekstraat 1079 EM,52.34397,4.902261,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Lekstraat
AMS-0950,5I Johannes Verhulststraat 1071 MP,52.35569,4.877267,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johannes Verhulststraat
AMS-1469,28II Fritz Conijnstraat 1063 CE,52.38412,4.836385,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Fritz Conijnstraat
AMS-1499,42 Doddendaal 1082 XV,52.33254,4.874741,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Doddendaal
AMS-1600,417 Eva Besnyöstraat 1087 LG,52.3505,5.007293,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Eva Besnyöstraat
AMS-1634,16 Willem Heselaarsstraat 1069 KA,52.35222,4.799156,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Willem Heselaarsstraat
AMS-1888,40 Schaarbeekstraat 1066 WH,52.34301,4.805537,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Schaarbeekstraat
AMS-2526,6 Meidoornweg 1031 GG,52.38651,4.909141,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Meidoornweg
AMS-2446,423 Transvaalstraat 1092 HM,52.35518,4.925674,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Transvaalstraat
AMS-0082,3D Tweede Atjehstraat 1094 KZ,52.36191,4.932396,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Tweede Atjehstraat
AMS-1020,26V Jan Luijkenstraat 1071 CP,52.36031,4.8828,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Jan Luijkenstraat
AMS-2247,8P Van Leijenberghlaan 1082 GM,52.3326,4.878765,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Leijenberghlaan
AMS-2425,6VII Plantage Muidergracht 1018 TV,52.36467,4.913428,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Plantage Muidergracht
AMS-0404 Laadplein,59B Populierenweg 1092 ER,52.35703,4.922673,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Populierenweg
AMS-1367,23II Stadionkade 1077 VL,52.34471,4.871457,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Stadionkade
AMS-1977,409 Van Boshuizenstraat 1082 AR,52.32462,4.879813,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Boshuizenstraat
AMS-2394,18b Johan van Hasseltweg 1022 XD,52.38572,4.929298,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johan van Hasseltweg
AMS-2375,26HS Jacob van Wassenaar Obdamstraat 1057 JS,52.37033,4.861388,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Jacob van Wassenaar Obdamstraat
AMS-2176,791E Burgemeester Hogguerstraat 1064 EB,52.37276,4.829317,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Burgemeester Hogguerstraat
AMS-1563,13 Roelof Hartplein 1071 TS,52.35325,4.883078,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Roelof Hartplein
AMS-3451,1 Bellefleurhof 1036 LC,52.40814,4.903522,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Bellefleurhof
AMS-0870,3 Zwaansvliet 1081 AP,52.32555,4.866539,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Zwaansvliet
AMS-1823,148I President Kennedylaan 1079 NL,52.34065,4.905855,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,President Kennedylaan
AMS-1841,220I President Kennedylaan 1079 NS,52.3411,4.897245,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,President Kennedylaan
AMS-2150,104 Ruys de Beerenbrouckstraat 1067 AB,52.3825,4.806229,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Ruys de Beerenbrouckstraat
AMS-0403 Laadplein,59B Populierenweg 1092 ER,52.35703,4.922673,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Populierenweg
AMS-1371,55N4 Surinameplein 1058 GN,52.35757,4.850809,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Surinameplein
AMS-2979,37 Van Karnebeekstraat 1067 RG,52.37448,4.797679,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Karnebeekstraat
AMS-2140,62C Tweede Oosterparkstraat 1091 JG,52.35648,4.915094,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Tweede Oosterparkstraat
AMS-2330,32 Paulus Potterstraat 1071 DB,52.35874,4.880066,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Paulus Potterstraat
AMS-1214,2 IJsbaanpad 1076 CV,52.3414,4.856462,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,IJsbaanpad
AMS-2326,Murillostraat 1077 NE,52.3462,4.874644,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,
AMS-1176,96 M. Gandhilaan 1069 ND,52.35398,4.778972,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,M. Gandhilaan
AMS-0165,704ST Prinsengracht 1017 LA,52.36194,4.894675,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Prinsengracht
AMS-1009,14 Th.J. Lammerslaan 1064 GW,52.37227,4.820117,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Th.J. Lammerslaan
AMS-1971,2I Veluwelaan 1079 PZ,52.34006,4.896904,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Veluwelaan
AMS-2360,76 Vätternkade 1060 PK,52.34935,4.781953,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Vätternkade
AMS-1378,36III Rietwijkerstraat 1059 XA,52.34917,4.849499,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Rietwijkerstraat
AMS-2499,77I Wingerdweg 1032 AB,52.39204,4.916877,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Wingerdweg
AMS-2411,17 s109 1077 WB,52.3464,4.880627,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,s109
AMS-2367,160I Willemsparkweg 1071 HS,52.35632,4.870699,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Willemsparkweg
AMS-2188,77II Woestduinstraat 1058 TC,52.35286,4.847546,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Woestduinstraat
AMS-1294,65C Windroosplein 1018 ZZ,52.3734,4.924231,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Windroosplein
AMS-1289,132 Binnenkadijk 1018 ZH,52.36925,4.91313,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Binnenkadijk
AMS-1307,13II Minervaplein 1077 TH,52.34705,4.872499,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Minervaplein
AMS-1567,11 Ubbo Emmiushof 1065 AT,52.36287,4.825647,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Ubbo Emmiushof
AMS-2570,9G Simonskerkestraat 1069 AA,52.35532,4.793221,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Simonskerkestraat
AMS-2504,54II Gibraltarstraat 1055 NR,52.38353,4.851624,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Gibraltarstraat
AMS-2592,71 Ilperveldstraat 1024 PJ,52.39539,4.94496,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Ilperveldstraat
AMS-1976,35 Vasco Da Gamastraat 1057 DN,52.36794,4.855214,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Vasco Da Gamastraat
AMS-1968,131C Da Costakade 1053 WS,52.36858,4.873401,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Da Costakade
AMS-2303,7 Westmallepad 1066 PP,52.34753,4.807018,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Westmallepad
AMS-0448,35II Albrecht Dürerstraat 1077 LW,52.34911,4.875841,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Albrecht Dürerstraat
AMS-1724,71i Nicolaas Maesstraat 1071 PR,52.35479,4.881601,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Nicolaas Maesstraat
AMS-1320,224HS Johannes Verhulststraat 1075 HG,52.35335,4.867944,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johannes Verhulststraat
AMS-2348,29 Michelangelostraat 1077 BR,52.34868,4.871276,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Michelangelostraat
AMS-1140,30 Noordzijde 1064 GV,52.37398,4.822009,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Noordzijde
AMS-2573,208I Louis Bouwmeesterstraat 1065 LG,52.35232,4.830856,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Louis Bouwmeesterstraat
AMS-2564,18II Oranje Nassaulaan 1075 AN,52.35439,4.861476,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Oranje Nassaulaan
AMS-0572,315D Marnixstraat 1016 TB,52.37353,4.87639,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Marnixstraat
AMS-1344,75G Prinseneiland 1013 LM,52.38595,4.886776,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Prinseneiland
AMS-0071,49-3 Wethouder Steinmetzstraat 1107 BV,52.29494,4.995339,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Wethouder Steinmetzstraat
