OBJECTNUMMER,LABEL,link no., year,street_name,24 hours,daylight,evening,nightlv,daymv,eveningmv,nightmv,dayzv,eveningzv,nightzv,day bus,evening bus,night bus,dagmr,eveningmr,nightmr,WKT_LNG_LAT,WKT_LAT_LNG,Longitude,Latitude
34137,Link 203483,203483,2019,Kloveniersburgwal,846,45,36,18,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.8996474 52.3716477,4.9000739 52.3721005,4.9001121 52.3721619)","LINESTRING(52.3716477 4.8996474,52.3721005 4.9000739,52.3721619 4.9001121)",4.89987975,52.3719048
34145,Link 203508,203508,2019,Prins Hendrikkade,7881,394,315,161,21,8,5,15,7,3,0,0,6,2,2,1,"LINESTRING(4.8991438 52.376722,4.8988504 52.3768135,4.8983777 52.3771078)","LINESTRING(52.376722 4.8991438,52.3768135 4.8988504,52.3771078 4.8983777)",4.89876075,52.3769149
34153,Link 203513,203513,2019,0013 BRUG,257,14,11,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8972524 52.3783443,4.8977989 52.378819,4.8980219 52.3789778)","LINESTRING(52.3783443 4.8972524,52.378819 4.8977989,52.3789778 4.8980219)",4.89763715,52.37866105
34161,Link 203534,203534,2019,Distelweg,6238,375,228,69,6,2,1,5,2,1,7,5,1,2,1,0,"LINESTRING(4.9021471 52.3939551,4.9028246 52.3936977)","LINESTRING(52.3939551 4.9021471,52.3936977 4.9028246)",4.90248585,52.3938264
34169,Link 203535,203535,2019,Ridderspoorweg,6560,394,240,73,6,3,1,6,2,1,7,5,1,2,1,0,"LINESTRING(4.9021471 52.3939551,4.9052923 52.3969927)","LINESTRING(52.3939551 4.9021471,52.3969927 4.9052923)",4.9037197,52.3954739
34177,Link 203544,203544,2019,Scheepsbouwweg,2654,145,88,27,1,1,0,1,1,0,18,14,4,1,1,0,"LINESTRING(4.8977053 52.4040316,4.8984386 52.4046163)","LINESTRING(52.4040316 4.8977053,52.4046163 4.8984386)",4.89807195,52.40432395
34185,Link 203546,203546,2019,Strekkerweg,3115,168,102,31,5,2,1,4,2,1,18,14,4,1,1,0,"LINESTRING(4.8975235 52.4038766,4.8980042 52.4036312,4.8981876 52.4035069)","LINESTRING(52.4038766 4.8975235,52.4036312 4.8980042,52.4035069 4.8981876)",4.89785555,52.40369175
34193,Link 203554,203554,2019,Scheepsbouwweg,2644,145,88,27,1,1,0,1,1,0,18,14,4,1,1,0,"LINESTRING(4.8993757 52.4059778,4.8997129 52.4067698)","LINESTRING(52.4059778 4.8993757,52.4067698 4.8997129)",4.8995443,52.4063738
34201,Link 203557,203557,2019,Werktuigstraat,2124,113,69,21,1,0,0,1,0,0,18,14,4,1,1,0,"LINESTRING(4.8993023 52.4082081,4.8982051 52.4083879)","LINESTRING(52.4082081 4.8993023,52.4083879 4.8982051)",4.8987537,52.408298
34209,Link 203559,203559,2019,Pomonastraat,5173,311,189,58,4,2,1,4,1,1,7,5,1,2,1,0,"LINESTRING(4.8960513 52.4106972,4.8960358 52.4106665,4.8953992 52.4101564,4.8953346 52.410076,4.8952739 52.4099466)","LINESTRING(52.4106972 4.8960513,52.4106665 4.8960358,52.4101564 4.8953992,52.410076 4.8953346,52.4099466 4.8952739)",4.8956626,52.4103219
34217,Link 203575,203575,2019,Pomonastraat,5169,311,189,58,4,2,1,4,1,1,7,5,1,2,1,0,"LINESTRING(4.899007 52.41304,4.898482 52.4126019)","LINESTRING(52.41304 4.899007,52.4126019 4.898482)",4.8987445,52.41282095
